,Pohlavie,nazov_kraja,Súčasná ekonomická aktivita,abs.
68,Muži,Trenčiansky kraj,hľadajúci zamestnanie,3902
69,Muži,Trenčiansky kraj,iné,121853
70,Muži,Trenčiansky kraj,na materskej dovolenke,7
71,Muži,Trenčiansky kraj,pomáhajúci,9
72,Muži,Trenčiansky kraj,pracujúci dôhodcovia,3945
73,Muži,Trenčiansky kraj,s vl. zdrojom obživy,0
74,Muži,Trenčiansky kraj,stredných škôl,4900
75,Muži,Trenčiansky kraj,učilíšť (SOU),9040
76,Muži,Trenčiansky kraj,vysokých škôl,2521
77,Muži,Trenčiansky kraj,Ženy v domácnosti,0
78,Muži,Trnavský kraj,Deti a žiaci ZŠ,75733
79,Muži,Trnavský kraj,Ostatní závislí,427
80,Muži,Trnavský kraj,dôchodcovia,41483
81,Muži,Trnavský kraj,hľadajúci zamestnanie,7572
82,Muži,Trnavský kraj,iné,159746
83,Muži,Trnavský kraj,na materskej dovolenke,7
84,Muži,Trnavský kraj,pomáhajúci,20
85,Muži,Trnavský kraj,pracujúci dôhodcovia,4118
86,Muži,Trnavský kraj,s vl. zdrojom obživy,1
87,Muži,Trnavský kraj,stredných škôl,7395
88,Muži,Trnavský kraj,učilíšť (SOU),11202
89,Muži,Trnavský kraj,vysokých škôl,3035
90,Muži,Trnavský kraj,Ženy v domácnosti,0
91,Muži,Žilinský kraj,Deti a žiaci ZŠ,86205
92,Muži,Žilinský kraj,Ostatní závislí,506
93,Muži,Žilinský kraj,dôchodcovia,42158
94,Muži,Žilinský kraj,hľadajúci zamestnanie,7089
95,Muži,Žilinský kraj,iné,165290
96,Muži,Žilinský kraj,na materskej dovolenke,6
97,Muži,Žilinský kraj,pomáhajúci,17
98,Muži,Žilinský kraj,pracujúci dôhodcovia,5624
99,Muži,Žilinský kraj,s vl. zdrojom obživy,1
100,Muži,Žilinský kraj,stredných škôl,7223
101,Muži,Žilinský kraj,učilíšť (SOU),12666
102,Muži,Žilinský kraj,vysokých škôl,3861
103,Muži,Žilinský kraj,Ženy v domácnosti,0
104,Ženy,Banskobystrický kraj,Deti a žiaci ZŠ,72683
105,Ženy,Banskobystrický kraj,Ostatní závislí,368
106,Ženy,Banskobystrický kraj,dôchodcovia,78346
107,Ženy,Banskobystrický kraj,hľadajúci zamestnanie,5357
108,Ženy,Banskobystrický kraj,iné,137212
109,Ženy,Banskobystrický kraj,na materskej dovolenke,17992
110,Ženy,Banskobystrický kraj,pomáhajúci,51
111,Ženy,Banskobystrický kraj,pracujúci dôhodcovia,5964
112,Ženy,Banskobystrický kraj,s vl. zdrojom obživy,0
113,Ženy,Banskobystrický kraj,stredných škôl,10717
114,Ženy,Banskobystrický kraj,učilíšť (SOU),5948
115,Ženy,Banskobystrický kraj,vysokých škôl,2764
116,Ženy,Banskobystrický kraj,Ženy v domácnosti,7757
117,Ženy,Bratislavský kraj,Deti a žiaci ZŠ,65991
118,Ženy,Bratislavský kraj,Ostatní závislí,356
119,Ženy,Bratislavský kraj,dôchodcovia,61446
120,Ženy,Bratislavský kraj,hľadajúci zamestnanie,5645
121,Ženy,Bratislavský kraj,iné,143169
122,Ženy,Bratislavský kraj,na materskej dovolenke,16868
123,Ženy,Bratislavský kraj,pomáhajúci,45
124,Ženy,Bratislavský kraj,pracujúci dôhodcovia,5856
125,Ženy,Bratislavský kraj,s vl. zdrojom obživy,8
126,Ženy,Bratislavský kraj,stredných škôl,11127
127,Ženy,Bratislavský kraj,učilíšť (SOU),4463
128,Ženy,Bratislavský kraj,vysokých škôl,4522
129,Ženy,Bratislavský kraj,Ženy v domácnosti,5451
130,Ženy,Košický kraj,Deti a žiaci ZŠ,98736
131,Ženy,Košický kraj,Ostatní závislí,410
132,Ženy,Košický kraj,dôchodcovia,85310
133,Ženy,Košický kraj,hľadajúci zamestnanie,7982
134,Ženy,Košický kraj,iné,165563
135,Ženy,Košický kraj,na materskej dovolenke,22209
136,Ženy,Košický kraj,pomáhajúci,37
137,Ženy,Košický kraj,pracujúci dôhodcovia,5290
138,Ženy,Košický kraj,s vl. zdrojom obživy,5
139,Ženy,Košický kraj,stredných škôl,14157
140,Ženy,Košický kraj,učilíšť (SOU),7071
141,Ženy,Košický kraj,vysokých škôl,4323
142,Ženy,Košický kraj,Ženy v domácnosti,19020
143,Ženy,Nitriansky kraj,Deti a žiaci ZŠ,82449
144,Ženy,Nitriansky kraj,Ostatní závislí,430
145,Ženy,Nitriansky kraj,dôchodcovia,90623
146,Ženy,Nitriansky kraj,hľadajúci zamestnanie,5467
147,Ženy,Nitriansky kraj,iné,159457
148,Ženy,Nitriansky kraj,na materskej dovolenke,20244
149,Ženy,Nitriansky kraj,pomáhajúci,58
150,Ženy,Nitriansky kraj,pracujúci dôhodcovia,3315
151,Ženy,Nitriansky kraj,s vl. zdrojom obživy,219
152,Ženy,Nitriansky kraj,stredných škôl,14001
153,Ženy,Nitriansky kraj,učilíšť (SOU),7184
154,Ženy,Nitriansky kraj,vysokých škôl,3393
155,Ženy,Nitriansky kraj,Ženy v domácnosti,22219
156,Ženy,Prešovský kraj,Deti a žiaci ZŠ,96559
157,Ženy,Prešovský kraj,Ostatní závislí,305
158,Ženy,Prešovský kraj,dôchodcovia,71084
159,Ženy,Prešovský kraj,hľadajúci zamestnanie,5140
160,Ženy,Prešovský kraj,iné,150521
161,Ženy,Prešovský kraj,na materskej dovolenke,23000
162,Ženy,Prešovský kraj,pomáhajúci,49
163,Ženy,Prešovský kraj,pracujúci dôhodcovia,4123
164,Ženy,Prešovský kraj,s vl. zdrojom obživy,0
165,Ženy,Prešovský kraj,stredných škôl,11407
166,Ženy,Prešovský kraj,učilíšť (SOU),7423
167,Ženy,Prešovský kraj,vysokých škôl,3463
168,Ženy,Prešovský kraj,Ženy v domácnosti,9426
169,Ženy,Trenčiansky kraj,Deti a žiaci ZŠ,57634
170,Ženy,Trenčiansky kraj,Ostatní závislí,100
171,Ženy,Trenčiansky kraj,dôchodcovia,55639
172,Ženy,Trenčiansky kraj,hľadajúci zamestnanie,2674
173,Ženy,Trenčiansky kraj,iné,108535
174,Ženy,Trenčiansky kraj,na materskej dovolenke,15366
175,Ženy,Trenčiansky kraj,pomáhajúci,6
176,Ženy,Trenčiansky kraj,pracujúci dôhodcovia,3120
177,Ženy,Trenčiansky kraj,s vl. zdrojom obživy,0
178,Ženy,Trenčiansky kraj,stredných škôl,8036
179,Ženy,Trenčiansky kraj,učilíšť (SOU),5659
180,Ženy,Trenčiansky kraj,vysokých škôl,2382
181,Ženy,Trenčiansky kraj,Ženy v domácnosti,3433
182,Ženy,Trnavský kraj,Deti a žiaci ZŠ,72653
183,Ženy,Trnavský kraj,Ostatní závislí,193
184,Ženy,Trnavský kraj,dôchodcovia,67877
185,Ženy,Trnavský kraj,hľadajúci zamestnanie,5131
186,Ženy,Trnavský kraj,iné,137523
187,Ženy,Trnavský kraj,na materskej dovolenke,18088
188,Ženy,Trnavský kraj,pomáhajúci,50
189,Ženy,Trnavský kraj,pracujúci dôhodcovia,3350
190,Ženy,Trnavský kraj,s vl. zdrojom obživy,264
191,Ženy,Trnavský kraj,stredných škôl,11703
192,Ženy,Trnavský kraj,učilíšť (SOU),6802
193,Ženy,Trnavský kraj,vysokých škôl,2697
194,Ženy,Trnavský kraj,Ženy v domácnosti,15217
195,Ženy,Žilinský kraj,Deti a žiaci ZŠ,82735
196,Ženy,Žilinský kraj,Ostatní závislí,217
197,Ženy,Žilinský kraj,dôchodcovia,70464
198,Ženy,Žilinský kraj,hľadajúci zamestnanie,4312
199,Ženy,Žilinský kraj,iné,147901
200,Ženy,Žilinský kraj,na materskej dovolenke,22959
201,Ženy,Žilinský kraj,pomáhajúci,27
202,Ženy,Žilinský kraj,pracujúci dôhodcovia,5176
203,Ženy,Žilinský kraj,s vl. zdrojom obživy,0
204,Ženy,Žilinský kraj,stredných škôl,11488
205,Ženy,Žilinský kraj,učilíšť (SOU),8549
206,Ženy,Žilinský kraj,vysokých škôl,3276
207,Ženy,Žilinský kraj,Ženy v domácnosti,3986
