,Kód kraja,Názov kraja,Kód okresu,Názov okresu,Súčasná ekonomická aktivita,Pohlavie,Vek,abs.
52,1,Bratislavský kraj,101,Okres Bratislava I,dôchodcovia,ženy,85-89,640.0
53,1,Bratislavský kraj,101,Okres Bratislava I,dôchodcovia,ženy,90-94,171.0
54,1,Bratislavský kraj,101,Okres Bratislava I,dôchodcovia,ženy,95-99,34.0
55,1,Bratislavský kraj,101,Okres Bratislava I,dôchodcovia,ženy,nezistený,0.0
57,1,Bratislavský kraj,101,Okres Bratislava I,iné,muži,100-104,0.0
58,1,Bratislavský kraj,101,Okres Bratislava I,iné,muži,15-19,8.0
59,1,Bratislavský kraj,101,Okres Bratislava I,iné,muži,20-24,31.0
60,1,Bratislavský kraj,101,Okres Bratislava I,iné,muži,25-29,29.0
61,1,Bratislavský kraj,101,Okres Bratislava I,iné,muži,30-34,16.0
62,1,Bratislavský kraj,101,Okres Bratislava I,iné,muži,35-39,16.0
63,1,Bratislavský kraj,101,Okres Bratislava I,iné,muži,40-44,9.0
64,1,Bratislavský kraj,101,Okres Bratislava I,iné,muži,45-49,8.0
65,1,Bratislavský kraj,101,Okres Bratislava I,iné,muži,50-54,19.0
66,1,Bratislavský kraj,101,Okres Bratislava I,iné,muži,55-59,21.0
67,1,Bratislavský kraj,101,Okres Bratislava I,iné,muži,60-64,11.0
68,1,Bratislavský kraj,101,Okres Bratislava I,iné,muži,65-69,5.0
69,1,Bratislavský kraj,101,Okres Bratislava I,iné,muži,70-74,1.0
70,1,Bratislavský kraj,101,Okres Bratislava I,iné,muži,75-79,1.0
71,1,Bratislavský kraj,101,Okres Bratislava I,iné,muži,80-84,0.0
72,1,Bratislavský kraj,101,Okres Bratislava I,iné,muži,85-89,1.0
73,1,Bratislavský kraj,101,Okres Bratislava I,iné,muži,90-94,0.0
74,1,Bratislavský kraj,101,Okres Bratislava I,iné,muži,95-99,1.0
75,1,Bratislavský kraj,101,Okres Bratislava I,iné,muži,nezistený,1.0
78,1,Bratislavský kraj,101,Okres Bratislava I,iné,ženy,100-104,0.0
79,1,Bratislavský kraj,101,Okres Bratislava I,iné,ženy,15-19,2.0
80,1,Bratislavský kraj,101,Okres Bratislava I,iné,ženy,20-24,34.0
81,1,Bratislavský kraj,101,Okres Bratislava I,iné,ženy,25-29,19.0
82,1,Bratislavský kraj,101,Okres Bratislava I,iné,ženy,30-34,11.0
83,1,Bratislavský kraj,101,Okres Bratislava I,iné,ženy,35-39,11.0
84,1,Bratislavský kraj,101,Okres Bratislava I,iné,ženy,40-44,9.0
85,1,Bratislavský kraj,101,Okres Bratislava I,iné,ženy,45-49,10.0
86,1,Bratislavský kraj,101,Okres Bratislava I,iné,ženy,50-54,17.0
87,1,Bratislavský kraj,101,Okres Bratislava I,iné,ženy,55-59,13.0
88,1,Bratislavský kraj,101,Okres Bratislava I,iné,ženy,60-64,5.0
89,1,Bratislavský kraj,101,Okres Bratislava I,iné,ženy,65-69,2.0
90,1,Bratislavský kraj,101,Okres Bratislava I,iné,ženy,70-74,1.0
91,1,Bratislavský kraj,101,Okres Bratislava I,iné,ženy,75-79,1.0
92,1,Bratislavský kraj,101,Okres Bratislava I,iné,ženy,80-84,1.0
93,1,Bratislavský kraj,101,Okres Bratislava I,iné,ženy,85-89,5.0
94,1,Bratislavský kraj,101,Okres Bratislava I,iné,ženy,90-94,3.0
95,1,Bratislavský kraj,101,Okres Bratislava I,iné,ženy,95-99,2.0
96,1,Bratislavský kraj,101,Okres Bratislava I,iné,ženy,nezistený,0.0
98,1,Bratislavský kraj,101,Okres Bratislava I,nezamestnaní,muži,15-19,9.0
99,1,Bratislavský kraj,101,Okres Bratislava I,nezamestnaní,muži,20-24,71.0
100,1,Bratislavský kraj,101,Okres Bratislava I,nezamestnaní,muži,25-29,110.0
101,1,Bratislavský kraj,101,Okres Bratislava I,nezamestnaní,muži,30-34,129.0
102,1,Bratislavský kraj,101,Okres Bratislava I,nezamestnaní,muži,35-39,104.0
103,1,Bratislavský kraj,101,Okres Bratislava I,nezamestnaní,muži,40-44,80.0
104,1,Bratislavský kraj,101,Okres Bratislava I,nezamestnaní,muži,45-49,72.0
105,1,Bratislavský kraj,101,Okres Bratislava I,nezamestnaní,muži,50-54,79.0
106,1,Bratislavský kraj,101,Okres Bratislava I,nezamestnaní,muži,55-59,114.0
107,1,Bratislavský kraj,101,Okres Bratislava I,nezamestnaní,muži,60-64,26.0
108,1,Bratislavský kraj,101,Okres Bratislava I,nezamestnaní,muži,nezistený,0.0
111,1,Bratislavský kraj,101,Okres Bratislava I,nezamestnaní,ženy,15-19,9.0
112,1,Bratislavský kraj,101,Okres Bratislava I,nezamestnaní,ženy,20-24,34.0
113,1,Bratislavský kraj,101,Okres Bratislava I,nezamestnaní,ženy,25-29,61.0
114,1,Bratislavský kraj,101,Okres Bratislava I,nezamestnaní,ženy,30-34,109.0
115,1,Bratislavský kraj,101,Okres Bratislava I,nezamestnaní,ženy,35-39,95.0
116,1,Bratislavský kraj,101,Okres Bratislava I,nezamestnaní,ženy,40-44,70.0
117,1,Bratislavský kraj,101,Okres Bratislava I,nezamestnaní,ženy,45-49,83.0
118,1,Bratislavský kraj,101,Okres Bratislava I,nezamestnaní,ženy,50-54,99.0
119,1,Bratislavský kraj,101,Okres Bratislava I,nezamestnaní,ženy,55-59,106.0
120,1,Bratislavský kraj,101,Okres Bratislava I,nezamestnaní,ženy,60-64,14.0
121,1,Bratislavský kraj,101,Okres Bratislava I,nezamestnaní,ženy,nezistený,1.0
123,1,Bratislavský kraj,101,Okres Bratislava I,nezistená,muži,100-104,0.0
124,1,Bratislavský kraj,101,Okres Bratislava I,nezistená,muži,105+,0.0
125,1,Bratislavský kraj,101,Okres Bratislava I,nezistená,muži,15-19,46.0
126,1,Bratislavský kraj,101,Okres Bratislava I,nezistená,muži,20-24,71.0
127,1,Bratislavský kraj,101,Okres Bratislava I,nezistená,muži,25-29,73.0
128,1,Bratislavský kraj,101,Okres Bratislava I,nezistená,muži,30-34,102.0
129,1,Bratislavský kraj,101,Okres Bratislava I,nezistená,muži,35-39,81.0
130,1,Bratislavský kraj,101,Okres Bratislava I,nezistená,muži,40-44,36.0
131,1,Bratislavský kraj,101,Okres Bratislava I,nezistená,muži,45-49,53.0
132,1,Bratislavský kraj,101,Okres Bratislava I,nezistená,muži,50-54,37.0
133,1,Bratislavský kraj,101,Okres Bratislava I,nezistená,muži,55-59,47.0
134,1,Bratislavský kraj,101,Okres Bratislava I,nezistená,muži,60-64,27.0
135,1,Bratislavský kraj,101,Okres Bratislava I,nezistená,muži,65-69,17.0
136,1,Bratislavský kraj,101,Okres Bratislava I,nezistená,muži,70-74,8.0
137,1,Bratislavský kraj,101,Okres Bratislava I,nezistená,muži,75-79,9.0
138,1,Bratislavský kraj,101,Okres Bratislava I,nezistená,muži,80-84,7.0
139,1,Bratislavský kraj,101,Okres Bratislava I,nezistená,muži,85-89,11.0
140,1,Bratislavský kraj,101,Okres Bratislava I,nezistená,muži,90-94,5.0
141,1,Bratislavský kraj,101,Okres Bratislava I,nezistená,muži,95-99,2.0
142,1,Bratislavský kraj,101,Okres Bratislava I,nezistená,muži,nezistený,2.0
145,1,Bratislavský kraj,101,Okres Bratislava I,nezistená,ženy,100-104,0.0
146,1,Bratislavský kraj,101,Okres Bratislava I,nezistená,ženy,105+,0.0
147,1,Bratislavský kraj,101,Okres Bratislava I,nezistená,ženy,15-19,59.0
148,1,Bratislavský kraj,101,Okres Bratislava I,nezistená,ženy,20-24,62.0
149,1,Bratislavský kraj,101,Okres Bratislava I,nezistená,ženy,25-29,53.0
150,1,Bratislavský kraj,101,Okres Bratislava I,nezistená,ženy,30-34,70.0
151,1,Bratislavský kraj,101,Okres Bratislava I,nezistená,ženy,35-39,71.0
152,1,Bratislavský kraj,101,Okres Bratislava I,nezistená,ženy,40-44,43.0
153,1,Bratislavský kraj,101,Okres Bratislava I,nezistená,ženy,45-49,42.0
154,1,Bratislavský kraj,101,Okres Bratislava I,nezistená,ženy,50-54,34.0
155,1,Bratislavský kraj,101,Okres Bratislava I,nezistená,ženy,55-59,23.0
156,1,Bratislavský kraj,101,Okres Bratislava I,nezistená,ženy,60-64,30.0
157,1,Bratislavský kraj,101,Okres Bratislava I,nezistená,ženy,65-69,17.0
158,1,Bratislavský kraj,101,Okres Bratislava I,nezistená,ženy,70-74,21.0
159,1,Bratislavský kraj,101,Okres Bratislava I,nezistená,ženy,75-79,14.0
160,1,Bratislavský kraj,101,Okres Bratislava I,nezistená,ženy,80-84,21.0
161,1,Bratislavský kraj,101,Okres Bratislava I,nezistená,ženy,85-89,40.0
162,1,Bratislavský kraj,101,Okres Bratislava I,nezistená,ženy,90-94,9.0
163,1,Bratislavský kraj,101,Okres Bratislava I,nezistená,ženy,95-99,3.0
164,1,Bratislavský kraj,101,Okres Bratislava I,nezistená,ženy,nezistený,1.0
166,1,Bratislavský kraj,101,Okres Bratislava I,osoby na materskej dovolenke,muži,15-19,0.0
167,1,Bratislavský kraj,101,Okres Bratislava I,osoby na materskej dovolenke,muži,20-24,0.0
168,1,Bratislavský kraj,101,Okres Bratislava I,osoby na materskej dovolenke,muži,25-29,0.0
169,1,Bratislavský kraj,101,Okres Bratislava I,osoby na materskej dovolenke,muži,30-34,0.0
170,1,Bratislavský kraj,101,Okres Bratislava I,osoby na materskej dovolenke,muži,35-39,0.0
171,1,Bratislavský kraj,101,Okres Bratislava I,osoby na materskej dovolenke,muži,40-44,0.0
172,1,Bratislavský kraj,101,Okres Bratislava I,osoby na materskej dovolenke,muži,45-49,0.0
173,1,Bratislavský kraj,101,Okres Bratislava I,osoby na materskej dovolenke,muži,50-54,0.0
174,1,Bratislavský kraj,101,Okres Bratislava I,osoby na materskej dovolenke,muži,60-64,0.0
177,1,Bratislavský kraj,101,Okres Bratislava I,osoby na materskej dovolenke,ženy,15-19,0.0
178,1,Bratislavský kraj,101,Okres Bratislava I,osoby na materskej dovolenke,ženy,20-24,8.0
179,1,Bratislavský kraj,101,Okres Bratislava I,osoby na materskej dovolenke,ženy,25-29,30.0
180,1,Bratislavský kraj,101,Okres Bratislava I,osoby na materskej dovolenke,ženy,30-34,51.0
181,1,Bratislavský kraj,101,Okres Bratislava I,osoby na materskej dovolenke,ženy,35-39,23.0
182,1,Bratislavský kraj,101,Okres Bratislava I,osoby na materskej dovolenke,ženy,40-44,3.0
183,1,Bratislavský kraj,101,Okres Bratislava I,osoby na materskej dovolenke,ženy,45-49,1.0
184,1,Bratislavský kraj,101,Okres Bratislava I,osoby na materskej dovolenke,ženy,50-54,0.0
185,1,Bratislavský kraj,101,Okres Bratislava I,osoby na materskej dovolenke,ženy,nezistený,0.0
187,1,Bratislavský kraj,101,Okres Bratislava I,osoby na rodičovskej dovolenke,muži,15-19,1.0
188,1,Bratislavský kraj,101,Okres Bratislava I,osoby na rodičovskej dovolenke,muži,20-24,2.0
189,1,Bratislavský kraj,101,Okres Bratislava I,osoby na rodičovskej dovolenke,muži,25-29,11.0
190,1,Bratislavský kraj,101,Okres Bratislava I,osoby na rodičovskej dovolenke,muži,30-34,32.0
191,1,Bratislavský kraj,101,Okres Bratislava I,osoby na rodičovskej dovolenke,muži,35-39,21.0
192,1,Bratislavský kraj,101,Okres Bratislava I,osoby na rodičovskej dovolenke,muži,40-44,15.0
193,1,Bratislavský kraj,101,Okres Bratislava I,osoby na rodičovskej dovolenke,muži,45-49,12.0
194,1,Bratislavský kraj,101,Okres Bratislava I,osoby na rodičovskej dovolenke,muži,50-54,0.0
195,1,Bratislavský kraj,101,Okres Bratislava I,osoby na rodičovskej dovolenke,muži,55-59,0.0
196,1,Bratislavský kraj,101,Okres Bratislava I,osoby na rodičovskej dovolenke,muži,nezistený,0.0
199,1,Bratislavský kraj,101,Okres Bratislava I,osoby na rodičovskej dovolenke,ženy,15-19,3.0
200,1,Bratislavský kraj,101,Okres Bratislava I,osoby na rodičovskej dovolenke,ženy,20-24,20.0
201,1,Bratislavský kraj,101,Okres Bratislava I,osoby na rodičovskej dovolenke,ženy,25-29,99.0
202,1,Bratislavský kraj,101,Okres Bratislava I,osoby na rodičovskej dovolenke,ženy,30-34,261.0
203,1,Bratislavský kraj,101,Okres Bratislava I,osoby na rodičovskej dovolenke,ženy,35-39,173.0
204,1,Bratislavský kraj,101,Okres Bratislava I,osoby na rodičovskej dovolenke,ženy,40-44,42.0
205,1,Bratislavský kraj,101,Okres Bratislava I,osoby na rodičovskej dovolenke,ženy,45-49,15.0
206,1,Bratislavský kraj,101,Okres Bratislava I,osoby na rodičovskej dovolenke,ženy,50-54,4.0
207,1,Bratislavský kraj,101,Okres Bratislava I,osoby na rodičovskej dovolenke,ženy,55-59,0.0
208,1,Bratislavský kraj,101,Okres Bratislava I,osoby na rodičovskej dovolenke,ženy,60-64,0.0
209,1,Bratislavský kraj,101,Okres Bratislava I,osoby na rodičovskej dovolenke,ženy,70-74,0.0
210,1,Bratislavský kraj,101,Okres Bratislava I,osoby na rodičovskej dovolenke,ženy,90-94,0.0
211,1,Bratislavský kraj,101,Okres Bratislava I,osoby na rodičovskej dovolenke,ženy,nezistený,0.0
213,1,Bratislavský kraj,101,Okres Bratislava I,osoby v domácnosti,muži,15-19,3.0
214,1,Bratislavský kraj,101,Okres Bratislava I,osoby v domácnosti,muži,20-24,3.0
215,1,Bratislavský kraj,101,Okres Bratislava I,osoby v domácnosti,muži,25-29,5.0
216,1,Bratislavský kraj,101,Okres Bratislava I,osoby v domácnosti,muži,30-34,9.0
217,1,Bratislavský kraj,101,Okres Bratislava I,osoby v domácnosti,muži,35-39,8.0
218,1,Bratislavský kraj,101,Okres Bratislava I,osoby v domácnosti,muži,40-44,2.0
219,1,Bratislavský kraj,101,Okres Bratislava I,osoby v domácnosti,muži,45-49,4.0
220,1,Bratislavský kraj,101,Okres Bratislava I,osoby v domácnosti,muži,50-54,4.0
221,1,Bratislavský kraj,101,Okres Bratislava I,osoby v domácnosti,muži,55-59,5.0
222,1,Bratislavský kraj,101,Okres Bratislava I,osoby v domácnosti,muži,60-64,2.0
223,1,Bratislavský kraj,101,Okres Bratislava I,osoby v domácnosti,muži,65-69,2.0
224,1,Bratislavský kraj,101,Okres Bratislava I,osoby v domácnosti,muži,70-74,0.0
225,1,Bratislavský kraj,101,Okres Bratislava I,osoby v domácnosti,muži,75-79,0.0
226,1,Bratislavský kraj,101,Okres Bratislava I,osoby v domácnosti,muži,80-84,1.0
227,1,Bratislavský kraj,101,Okres Bratislava I,osoby v domácnosti,muži,85-89,1.0
228,1,Bratislavský kraj,101,Okres Bratislava I,osoby v domácnosti,muži,90-94,0.0
229,1,Bratislavský kraj,101,Okres Bratislava I,osoby v domácnosti,muži,nezistený,1.0
232,1,Bratislavský kraj,101,Okres Bratislava I,osoby v domácnosti,ženy,15-19,1.0
233,1,Bratislavský kraj,101,Okres Bratislava I,osoby v domácnosti,ženy,20-24,4.0
234,1,Bratislavský kraj,101,Okres Bratislava I,osoby v domácnosti,ženy,25-29,4.0
235,1,Bratislavský kraj,101,Okres Bratislava I,osoby v domácnosti,ženy,30-34,24.0
236,1,Bratislavský kraj,101,Okres Bratislava I,osoby v domácnosti,ženy,35-39,37.0
237,1,Bratislavský kraj,101,Okres Bratislava I,osoby v domácnosti,ženy,40-44,38.0
238,1,Bratislavský kraj,101,Okres Bratislava I,osoby v domácnosti,ženy,45-49,34.0
239,1,Bratislavský kraj,101,Okres Bratislava I,osoby v domácnosti,ženy,50-54,40.0
240,1,Bratislavský kraj,101,Okres Bratislava I,osoby v domácnosti,ženy,55-59,31.0
241,1,Bratislavský kraj,101,Okres Bratislava I,osoby v domácnosti,ženy,60-64,3.0
242,1,Bratislavský kraj,101,Okres Bratislava I,osoby v domácnosti,ženy,65-69,2.0
243,1,Bratislavský kraj,101,Okres Bratislava I,osoby v domácnosti,ženy,70-74,3.0
244,1,Bratislavský kraj,101,Okres Bratislava I,osoby v domácnosti,ženy,75-79,1.0
245,1,Bratislavský kraj,101,Okres Bratislava I,osoby v domácnosti,ženy,80-84,5.0
246,1,Bratislavský kraj,101,Okres Bratislava I,osoby v domácnosti,ženy,85-89,3.0
247,1,Bratislavský kraj,101,Okres Bratislava I,osoby v domácnosti,ženy,90-94,2.0
248,1,Bratislavský kraj,101,Okres Bratislava I,osoby v domácnosti,ženy,95-99,0.0
249,1,Bratislavský kraj,101,Okres Bratislava I,osoby v domácnosti,ženy,nezistený,0.0
251,1,Bratislavský kraj,101,Okres Bratislava I,pracujúci (okrem dôchodcov),muži,100-104,0.0
252,1,Bratislavský kraj,101,Okres Bratislava I,pracujúci (okrem dôchodcov),muži,15-19,15.0
253,1,Bratislavský kraj,101,Okres Bratislava I,pracujúci (okrem dôchodcov),muži,20-24,271.0
254,1,Bratislavský kraj,101,Okres Bratislava I,pracujúci (okrem dôchodcov),muži,25-29,1011.0
255,1,Bratislavský kraj,101,Okres Bratislava I,pracujúci (okrem dôchodcov),muži,30-34,1310.0
256,1,Bratislavský kraj,101,Okres Bratislava I,pracujúci (okrem dôchodcov),muži,35-39,1293.0
257,1,Bratislavský kraj,101,Okres Bratislava I,pracujúci (okrem dôchodcov),muži,40-44,936.0
258,1,Bratislavský kraj,101,Okres Bratislava I,pracujúci (okrem dôchodcov),muži,45-49,927.0
259,1,Bratislavský kraj,101,Okres Bratislava I,pracujúci (okrem dôchodcov),muži,50-54,952.0
260,1,Bratislavský kraj,101,Okres Bratislava I,pracujúci (okrem dôchodcov),muži,55-59,1102.0
261,1,Bratislavský kraj,101,Okres Bratislava I,pracujúci (okrem dôchodcov),muži,60-64,440.0
262,1,Bratislavský kraj,101,Okres Bratislava I,pracujúci (okrem dôchodcov),muži,65-69,43.0
263,1,Bratislavský kraj,101,Okres Bratislava I,pracujúci (okrem dôchodcov),muži,70-74,20.0
264,1,Bratislavský kraj,101,Okres Bratislava I,pracujúci (okrem dôchodcov),muži,75-79,15.0
265,1,Bratislavský kraj,101,Okres Bratislava I,pracujúci (okrem dôchodcov),muži,80-84,5.0
266,1,Bratislavský kraj,101,Okres Bratislava I,pracujúci (okrem dôchodcov),muži,85-89,5.0
267,1,Bratislavský kraj,101,Okres Bratislava I,pracujúci (okrem dôchodcov),muži,90-94,1.0
268,1,Bratislavský kraj,101,Okres Bratislava I,pracujúci (okrem dôchodcov),muži,95-99,0.0
269,1,Bratislavský kraj,101,Okres Bratislava I,pracujúci (okrem dôchodcov),muži,nezistený,7.0
272,1,Bratislavský kraj,101,Okres Bratislava I,pracujúci (okrem dôchodcov),ženy,15-19,39.0
273,1,Bratislavský kraj,101,Okres Bratislava I,pracujúci (okrem dôchodcov),ženy,20-24,238.0
274,1,Bratislavský kraj,101,Okres Bratislava I,pracujúci (okrem dôchodcov),ženy,25-29,752.0
275,1,Bratislavský kraj,101,Okres Bratislava I,pracujúci (okrem dôchodcov),ženy,30-34,1067.0
276,1,Bratislavský kraj,101,Okres Bratislava I,pracujúci (okrem dôchodcov),ženy,35-39,1072.0
277,1,Bratislavský kraj,101,Okres Bratislava I,pracujúci (okrem dôchodcov),ženy,40-44,892.0
278,1,Bratislavský kraj,101,Okres Bratislava I,pracujúci (okrem dôchodcov),ženy,45-49,939.0
279,1,Bratislavský kraj,101,Okres Bratislava I,pracujúci (okrem dôchodcov),ženy,50-54,1070.0
280,1,Bratislavský kraj,101,Okres Bratislava I,pracujúci (okrem dôchodcov),ženy,55-59,1054.0
281,1,Bratislavský kraj,101,Okres Bratislava I,pracujúci (okrem dôchodcov),ženy,60-64,198.0
282,1,Bratislavský kraj,101,Okres Bratislava I,pracujúci (okrem dôchodcov),ženy,65-69,36.0
283,1,Bratislavský kraj,101,Okres Bratislava I,pracujúci (okrem dôchodcov),ženy,70-74,17.0
284,1,Bratislavský kraj,101,Okres Bratislava I,pracujúci (okrem dôchodcov),ženy,75-79,11.0
285,1,Bratislavský kraj,101,Okres Bratislava I,pracujúci (okrem dôchodcov),ženy,80-84,19.0
286,1,Bratislavský kraj,101,Okres Bratislava I,pracujúci (okrem dôchodcov),ženy,85-89,10.0
287,1,Bratislavský kraj,101,Okres Bratislava I,pracujúci (okrem dôchodcov),ženy,90-94,3.0
288,1,Bratislavský kraj,101,Okres Bratislava I,pracujúci (okrem dôchodcov),ženy,95-99,1.0
289,1,Bratislavský kraj,101,Okres Bratislava I,pracujúci (okrem dôchodcov),ženy,nezistený,1.0
291,1,Bratislavský kraj,101,Okres Bratislava I,pracujúci dôchodcovia,muži,15-19,0.0
292,1,Bratislavský kraj,101,Okres Bratislava I,pracujúci dôchodcovia,muži,20-24,3.0
293,1,Bratislavský kraj,101,Okres Bratislava I,pracujúci dôchodcovia,muži,25-29,7.0
294,1,Bratislavský kraj,101,Okres Bratislava I,pracujúci dôchodcovia,muži,30-34,17.0
295,1,Bratislavský kraj,101,Okres Bratislava I,pracujúci dôchodcovia,muži,35-39,14.0
296,1,Bratislavský kraj,101,Okres Bratislava I,pracujúci dôchodcovia,muži,40-44,7.0
297,1,Bratislavský kraj,101,Okres Bratislava I,pracujúci dôchodcovia,muži,45-49,14.0
298,1,Bratislavský kraj,101,Okres Bratislava I,pracujúci dôchodcovia,muži,50-54,16.0
299,1,Bratislavský kraj,101,Okres Bratislava I,pracujúci dôchodcovia,muži,55-59,30.0
300,1,Bratislavský kraj,101,Okres Bratislava I,pracujúci dôchodcovia,muži,60-64,305.0
301,1,Bratislavský kraj,101,Okres Bratislava I,pracujúci dôchodcovia,muži,65-69,262.0
302,1,Bratislavský kraj,101,Okres Bratislava I,pracujúci dôchodcovia,muži,70-74,127.0
303,1,Bratislavský kraj,101,Okres Bratislava I,pracujúci dôchodcovia,muži,75-79,62.0
304,1,Bratislavský kraj,101,Okres Bratislava I,pracujúci dôchodcovia,muži,80-84,37.0
305,1,Bratislavský kraj,101,Okres Bratislava I,pracujúci dôchodcovia,muži,85-89,5.0
306,1,Bratislavský kraj,101,Okres Bratislava I,pracujúci dôchodcovia,muži,90-94,2.0
307,1,Bratislavský kraj,101,Okres Bratislava I,pracujúci dôchodcovia,muži,95-99,0.0
308,1,Bratislavský kraj,101,Okres Bratislava I,pracujúci dôchodcovia,muži,nezistený,0.0
311,1,Bratislavský kraj,101,Okres Bratislava I,pracujúci dôchodcovia,ženy,15-19,1.0
312,1,Bratislavský kraj,101,Okres Bratislava I,pracujúci dôchodcovia,ženy,20-24,2.0
313,1,Bratislavský kraj,101,Okres Bratislava I,pracujúci dôchodcovia,ženy,25-29,9.0
314,1,Bratislavský kraj,101,Okres Bratislava I,pracujúci dôchodcovia,ženy,30-34,7.0
315,1,Bratislavský kraj,101,Okres Bratislava I,pracujúci dôchodcovia,ženy,35-39,15.0
316,1,Bratislavský kraj,101,Okres Bratislava I,pracujúci dôchodcovia,ženy,40-44,9.0
317,1,Bratislavský kraj,101,Okres Bratislava I,pracujúci dôchodcovia,ženy,45-49,11.0
318,1,Bratislavský kraj,101,Okres Bratislava I,pracujúci dôchodcovia,ženy,50-54,11.0
319,1,Bratislavský kraj,101,Okres Bratislava I,pracujúci dôchodcovia,ženy,55-59,181.0
320,1,Bratislavský kraj,101,Okres Bratislava I,pracujúci dôchodcovia,ženy,60-64,426.0
