"Kód okresu";"Názov okresu";"Pohlavie";"Ekonomické vekové skupiny";"Súčasná ekonomická aktivita";"abs."
SK0102;Okres Bratislava II;muž;produktívny vek (15-64 rokov);osoba v domácnosti;1457
SK0102;Okres Bratislava II;muž;produktívny vek (15-64 rokov);dôchodca;1438
SK0102;Okres Bratislava II;muž;produktívny vek (15-64 rokov);príjemca kapitálových príjmov;266
SK0102;Okres Bratislava II;muž;produktívny vek (15-64 rokov);iná;234
SK0102;Okres Bratislava II;muž;produktívny vek (15-64 rokov);žiak základnej školy;186
SK0102;Okres Bratislava II;muž;poproduktívny vek (65 a viac rokov);dôverné;23
SK0102;Okres Bratislava II;muž;poproduktívny vek (65 a viac rokov);pracujúci dôchodca;2284
SK0102;Okres Bratislava II;muž;poproduktívny vek (65 a viac rokov);dôchodca;6655
SK0102;Okres Bratislava II;muž;poproduktívny vek (65 a viac rokov);príjemca kapitálových príjmov;7
SK0102;Okres Bratislava II;žena;predproduktívny vek (0-14 rokov);nezistené;6
SK0102;Okres Bratislava II;žena;predproduktívny vek (0-14 rokov);žiak strednej školy;5
SK0102;Okres Bratislava II;žena;predproduktívny vek (0-14 rokov);žiak základnej školy;4780
SK0102;Okres Bratislava II;žena;predproduktívny vek (0-14 rokov);dieťa do začatia povinnej školskej dochádzky;4573
SK0102;Okres Bratislava II;žena;produktívny vek (15-64 rokov);dôverné;60
SK0102;Okres Bratislava II;žena;produktívny vek (15-64 rokov);nezistené;1335
SK0102;Okres Bratislava II;žena;produktívny vek (15-64 rokov);pracujúci (okrem dôchodcov);25780
SK0102;Okres Bratislava II;žena;produktívny vek (15-64 rokov);pracujúci dôchodca;2032
SK0102;Okres Bratislava II;žena;produktívny vek (15-64 rokov);osoba na materskej dovolenke;633
SK0102;Okres Bratislava II;žena;produktívny vek (15-64 rokov);osoba na rodičovskej dovolenke;1663
SK0102;Okres Bratislava II;žena;produktívny vek (15-64 rokov);nezamestnaný;1658
SK0102;Okres Bratislava II;žena;produktívny vek (15-64 rokov);žiak strednej školy;1647
SK0102;Okres Bratislava II;žena;produktívny vek (15-64 rokov);študent vysokej školy;1141
SK0102;Okres Bratislava II;žena;produktívny vek (15-64 rokov);osoba v domácnosti;3733
SK0102;Okres Bratislava II;žena;produktívny vek (15-64 rokov);dôchodca;1799
SK0102;Okres Bratislava II;žena;produktívny vek (15-64 rokov);príjemca kapitálových príjmov;273
SK0102;Okres Bratislava II;žena;produktívny vek (15-64 rokov);iná;25
SK0102;Okres Bratislava II;žena;produktívny vek (15-64 rokov);žiak základnej školy;159
SK0102;Okres Bratislava II;žena;poproduktívny vek (65 a viac rokov);dôverné;13
SK0102;Okres Bratislava II;žena;poproduktívny vek (65 a viac rokov);pracujúci dôchodca;2342
SK0102;Okres Bratislava II;žena;poproduktívny vek (65 a viac rokov);dôchodca;12802
SK0102;Okres Bratislava II;žena;poproduktívny vek (65 a viac rokov);príjemca kapitálových príjmov;7
SK0103;Okres Bratislava III;muž;predproduktívny vek (0-14 rokov);žiak strednej školy;5
SK0103;Okres Bratislava III;muž;predproduktívny vek (0-14 rokov);žiak základnej školy;3238
SK0103;Okres Bratislava III;muž;predproduktívny vek (0-14 rokov);dieťa do začatia povinnej školskej dochádzky;3311
SK0103;Okres Bratislava III;muž;produktívny vek (15-64 rokov);dôverné;36
SK0103;Okres Bratislava III;muž;produktívny vek (15-64 rokov);nezistené;1381
SK0103;Okres Bratislava III;muž;produktívny vek (15-64 rokov);pracujúci (okrem dôchodcov);17706
SK0103;Okres Bratislava III;muž;produktívny vek (15-64 rokov);pracujúci dôchodca;956
SK0103;Okres Bratislava III;muž;produktívny vek (15-64 rokov);osoba na materskej dovolenke;82
SK0103;Okres Bratislava III;muž;produktívny vek (15-64 rokov);osoba na rodičovskej dovolenke;82
SK0103;Okres Bratislava III;muž;produktívny vek (15-64 rokov);nezamestnaný;881
SK0103;Okres Bratislava III;muž;produktívny vek (15-64 rokov);žiak strednej školy;998
SK0103;Okres Bratislava III;muž;produktívny vek (15-64 rokov);študent vysokej školy;557
SK0103;Okres Bratislava III;muž;produktívny vek (15-64 rokov);osoba v domácnosti;859
SK0103;Okres Bratislava III;muž;produktívny vek (15-64 rokov);dôchodca;799
SK0103;Okres Bratislava III;muž;produktívny vek (15-64 rokov);príjemca kapitálových príjmov;189
SK0103;Okres Bratislava III;muž;produktívny vek (15-64 rokov);iná;84
SK0103;Okres Bratislava III;muž;produktívny vek (15-64 rokov);žiak základnej školy;116
SK0103;Okres Bratislava III;muž;poproduktívny vek (65 a viac rokov);dôverné;23
SK0103;Okres Bratislava III;muž;poproduktívny vek (65 a viac rokov);pracujúci dôchodca;1551
SK0103;Okres Bratislava III;muž;poproduktívny vek (65 a viac rokov);dôchodca;3896
SK0103;Okres Bratislava III;muž;poproduktívny vek (65 a viac rokov);príjemca kapitálových príjmov;4
SK0103;Okres Bratislava III;žena;predproduktívny vek (0-14 rokov);nezistené;10
SK0103;Okres Bratislava III;žena;predproduktívny vek (0-14 rokov);žiak strednej školy;3
SK0103;Okres Bratislava III;žena;predproduktívny vek (0-14 rokov);žiak základnej školy;3047
SK0103;Okres Bratislava III;žena;predproduktívny vek (0-14 rokov);dieťa do začatia povinnej školskej dochádzky;2948
SK0103;Okres Bratislava III;žena;produktívny vek (15-64 rokov);dôverné;58
SK0103;Okres Bratislava III;žena;produktívny vek (15-64 rokov);nezistené;993
SK0103;Okres Bratislava III;žena;produktívny vek (15-64 rokov);pracujúci (okrem dôchodcov);15342
SK0103;Okres Bratislava III;žena;produktívny vek (15-64 rokov);pracujúci dôchodca;1189
SK0103;Okres Bratislava III;žena;produktívny vek (15-64 rokov);osoba na materskej dovolenke;394
SK0103;Okres Bratislava III;žena;produktívny vek (15-64 rokov);osoba na rodičovskej dovolenke;1141
SK0103;Okres Bratislava III;žena;produktívny vek (15-64 rokov);nezamestnaný;921
SK0103;Okres Bratislava III;žena;produktívny vek (15-64 rokov);žiak strednej školy;999
SK0103;Okres Bratislava III;žena;produktívny vek (15-64 rokov);študent vysokej školy;627
SK0103;Okres Bratislava III;žena;produktívny vek (15-64 rokov);osoba v domácnosti;2253
SK0103;Okres Bratislava III;žena;produktívny vek (15-64 rokov);dôchodca;972
SK0103;Okres Bratislava III;žena;produktívny vek (15-64 rokov);príjemca kapitálových príjmov;158
SK0103;Okres Bratislava III;žena;produktívny vek (15-64 rokov);iná;8
SK0103;Okres Bratislava III;žena;produktívny vek (15-64 rokov);žiak základnej školy;67
SK0103;Okres Bratislava III;žena;poproduktívny vek (65 a viac rokov);dôverné;9
SK0103;Okres Bratislava III;žena;poproduktívny vek (65 a viac rokov);pracujúci dôchodca;1484
SK0103;Okres Bratislava III;žena;poproduktívny vek (65 a viac rokov);dôchodca;6886
SK0103;Okres Bratislava III;žena;poproduktívny vek (65 a viac rokov);príjemca kapitálových príjmov;7
SK0104;Okres Bratislava IV;muž;predproduktívny vek (0-14 rokov);nezistené;2
SK0104;Okres Bratislava IV;muž;predproduktívny vek (0-14 rokov);žiak základnej školy;4342
SK0104;Okres Bratislava IV;muž;predproduktívny vek (0-14 rokov);dieťa do začatia povinnej školskej dochádzky;4120
SK0104;Okres Bratislava IV;muž;produktívny vek (15-64 rokov);dôverné;38
SK0104;Okres Bratislava IV;muž;produktívny vek (15-64 rokov);nezistené;1205
SK0104;Okres Bratislava IV;muž;produktívny vek (15-64 rokov);pracujúci (okrem dôchodcov);24954
SK0104;Okres Bratislava IV;muž;produktívny vek (15-64 rokov);pracujúci dôchodca;1380
SK0104;Okres Bratislava IV;muž;produktívny vek (15-64 rokov);osoba na materskej dovolenke;112
SK0104;Okres Bratislava IV;muž;produktívny vek (15-64 rokov);osoba na rodičovskej dovolenke;92
SK0104;Okres Bratislava IV;muž;produktívny vek (15-64 rokov);nezamestnaný;1213
SK0104;Okres Bratislava IV;muž;produktívny vek (15-64 rokov);žiak strednej školy;1653
SK0104;Okres Bratislava IV;muž;produktívny vek (15-64 rokov);študent vysokej školy;996
SK0104;Okres Bratislava IV;muž;produktívny vek (15-64 rokov);osoba v domácnosti;1213
SK0104;Okres Bratislava IV;muž;produktívny vek (15-64 rokov);dôchodca;1026
SK0104;Okres Bratislava IV;muž;produktívny vek (15-64 rokov);príjemca kapitálových príjmov;214
SK0104;Okres Bratislava IV;muž;produktívny vek (15-64 rokov);iná;102
SK0104;Okres Bratislava IV;muž;produktívny vek (15-64 rokov);žiak základnej školy;198
SK0104;Okres Bratislava IV;muž;poproduktívny vek (65 a viac rokov);dôverné;16
SK0104;Okres Bratislava IV;muž;poproduktívny vek (65 a viac rokov);pracujúci dôchodca;2006
SK0104;Okres Bratislava IV;muž;poproduktívny vek (65 a viac rokov);dôchodca;5356
SK0104;Okres Bratislava IV;muž;poproduktívny vek (65 a viac rokov);príjemca kapitálových príjmov;9
SK0104;Okres Bratislava IV;žena;predproduktívny vek (0-14 rokov);nezistené;6
SK0104;Okres Bratislava IV;žena;predproduktívny vek (0-14 rokov);žiak strednej školy;5
SK0104;Okres Bratislava IV;žena;predproduktívny vek (0-14 rokov);žiak základnej školy;4266
SK0104;Okres Bratislava IV;žena;predproduktívny vek (0-14 rokov);dieťa do začatia povinnej školskej dochádzky;3717
SK0104;Okres Bratislava IV;žena;produktívny vek (15-64 rokov);dôverné;53
SK0104;Okres Bratislava IV;žena;produktívny vek (15-64 rokov);nezistené;1012
SK0104;Okres Bratislava IV;žena;produktívny vek (15-64 rokov);pracujúci (okrem dôchodcov);22174
SK0104;Okres Bratislava IV;žena;produktívny vek (15-64 rokov);pracujúci dôchodca;1466
SK0104;Okres Bratislava IV;žena;produktívny vek (15-64 rokov);osoba na materskej dovolenke;563
SK0104;Okres Bratislava IV;žena;produktívny vek (15-64 rokov);osoba na rodičovskej dovolenke;1317
SK0104;Okres Bratislava IV;žena;produktívny vek (15-64 rokov);nezamestnaný;1431
SK0104;Okres Bratislava IV;žena;produktívny vek (15-64 rokov);žiak strednej školy;1537
SK0104;Okres Bratislava IV;žena;produktívny vek (15-64 rokov);študent vysokej školy;1078
SK0104;Okres Bratislava IV;žena;produktívny vek (15-64 rokov);osoba v domácnosti;3047
SK0104;Okres Bratislava IV;žena;produktívny vek (15-64 rokov);dôchodca;1319
SK0104;Okres Bratislava IV;žena;produktívny vek (15-64 rokov);príjemca kapitálových príjmov;227
SK0104;Okres Bratislava IV;žena;produktívny vek (15-64 rokov);iná;10
SK0104;Okres Bratislava IV;žena;produktívny vek (15-64 rokov);žiak základnej školy;125
SK0104;Okres Bratislava IV;žena;poproduktívny vek (65 a viac rokov);dôverné;8
SK0104;Okres Bratislava IV;žena;poproduktívny vek (65 a viac rokov);pracujúci dôchodca;1941
SK0104;Okres Bratislava IV;žena;poproduktívny vek (65 a viac rokov);dôchodca;9691
SK0104;Okres Bratislava IV;žena;poproduktívny vek (65 a viac rokov);príjemca kapitálových príjmov;5
SK0105;Okres Bratislava V;muž;predproduktívny vek (0-14 rokov);nezistené;1
SK0105;Okres Bratislava V;muž;predproduktívny vek (0-14 rokov);žiak strednej školy;5
SK0105;Okres Bratislava V;muž;predproduktívny vek (0-14 rokov);žiak základnej školy;4593
SK0105;Okres Bratislava V;muž;predproduktívny vek (0-14 rokov);dieťa do začatia povinnej školskej dochádzky;4864
SK0105;Okres Bratislava V;muž;produktívny vek (15-64 rokov);dôverné;34
SK0105;Okres Bratislava V;muž;produktívny vek (15-64 rokov);nezistené;1544
SK0105;Okres Bratislava V;muž;produktívny vek (15-64 rokov);pracujúci (okrem dôchodcov);28146
SK0105;Okres Bratislava V;muž;produktívny vek (15-64 rokov);pracujúci dôchodca;2167
SK0105;Okres Bratislava V;muž;produktívny vek (15-64 rokov);osoba na materskej dovolenke;98
SK0105;Okres Bratislava V;muž;produktívny vek (15-64 rokov);osoba na rodičovskej dovolenke;107
SK0105;Okres Bratislava V;muž;produktívny vek (15-64 rokov);nezamestnaný;1465
SK0105;Okres Bratislava V;muž;produktívny vek (15-64 rokov);žiak strednej školy;1366
SK0105;Okres Bratislava V;muž;produktívny vek (15-64 rokov);študent vysokej školy;765
SK0105;Okres Bratislava V;muž;produktívny vek (15-64 rokov);osoba v domácnosti;1458
SK0105;Okres Bratislava V;muž;produktívny vek (15-64 rokov);dôchodca;1858
SK0105;Okres Bratislava V;muž;produktívny vek (15-64 rokov);príjemca kapitálových príjmov;241
SK0105;Okres Bratislava V;muž;produktívny vek (15-64 rokov);iná;245
SK0105;Okres Bratislava V;muž;produktívny vek (15-64 rokov);žiak základnej školy;196
SK0105;Okres Bratislava V;muž;poproduktívny vek (65 a viac rokov);dôverné;15
SK0105;Okres Bratislava V;muž;poproduktívny vek (65 a viac rokov);pracujúci dôchodca;3013
SK0105;Okres Bratislava V;muž;poproduktívny vek (65 a viac rokov);dôchodca;7115
SK0105;Okres Bratislava V;muž;poproduktívny vek (65 a viac rokov);príjemca kapitálových príjmov;5
SK0105;Okres Bratislava V;žena;predproduktívny vek (0-14 rokov);nezistené;5
SK0105;Okres Bratislava V;žena;predproduktívny vek (0-14 rokov);žiak strednej školy;10
SK0105;Okres Bratislava V;žena;predproduktívny vek (0-14 rokov);žiak základnej školy;4512
SK0105;Okres Bratislava V;žena;predproduktívny vek (0-14 rokov);dieťa do začatia povinnej školskej dochádzky;4551
SK0105;Okres Bratislava V;žena;produktívny vek (15-64 rokov);dôverné;38
SK0105;Okres Bratislava V;žena;produktívny vek (15-64 rokov);nezistené;1181
SK0105;Okres Bratislava V;žena;produktívny vek (15-64 rokov);pracujúci (okrem dôchodcov);24396
SK0105;Okres Bratislava V;žena;produktívny vek (15-64 rokov);pracujúci dôchodca;2856
SK0105;Okres Bratislava V;žena;produktívny vek (15-64 rokov);osoba na materskej dovolenke;557
SK0105;Okres Bratislava V;žena;produktívny vek (15-64 rokov);osoba na rodičovskej dovolenke;1662
SK0105;Okres Bratislava V;žena;produktívny vek (15-64 rokov);nezamestnaný;1619
SK0105;Okres Bratislava V;žena;produktívny vek (15-64 rokov);žiak strednej školy;1276
SK0105;Okres Bratislava V;žena;produktívny vek (15-64 rokov);študent vysokej školy;781
SK0105;Okres Bratislava V;žena;produktívny vek (15-64 rokov);osoba v domácnosti;3654
SK0105;Okres Bratislava V;žena;produktívny vek (15-64 rokov);dôchodca;2721
SK0105;Okres Bratislava V;žena;produktívny vek (15-64 rokov);príjemca kapitálových príjmov;213
SK0105;Okres Bratislava V;žena;produktívny vek (15-64 rokov);iná;14
SK0105;Okres Bratislava V;žena;produktívny vek (15-64 rokov);žiak základnej školy;136
SK0105;Okres Bratislava V;žena;poproduktívny vek (65 a viac rokov);dôverné;4
SK0105;Okres Bratislava V;žena;poproduktívny vek (65 a viac rokov);pracujúci dôchodca;2860
SK0105;Okres Bratislava V;žena;poproduktívny vek (65 a viac rokov);dôchodca;10378
SK0105;Okres Bratislava V;žena;poproduktívny vek (65 a viac rokov);príjemca kapitálových príjmov;3
SK0105;Okres Bratislava V;žena;poproduktívny vek (65 a viac rokov);iná;1
SK0106;Okres Malacky;muž;predproduktívny vek (0-14 rokov);žiak strednej školy;5
SK0106;Okres Malacky;muž;predproduktívny vek (0-14 rokov);žiak základnej školy;3843
SK0106;Okres Malacky;muž;predproduktívny vek (0-14 rokov);dieťa do začatia povinnej školskej dochádzky;3201
SK0106;Okres Malacky;muž;produktívny vek (15-64 rokov);dôverné;44
SK0106;Okres Malacky;muž;produktívny vek (15-64 rokov);nezistené;851
SK0106;Okres Malacky;muž;produktívny vek (15-64 rokov);pracujúci (okrem dôchodcov);18508
SK0106;Okres Malacky;muž;produktívny vek (15-64 rokov);pracujúci dôchodca;1259
SK0106;Okres Malacky;muž;produktívny vek (15-64 rokov);osoba na materskej dovolenke;59
SK0106;Okres Malacky;muž;produktívny vek (15-64 rokov);osoba na rodičovskej dovolenke;42
SK0106;Okres Malacky;muž;produktívny vek (15-64 rokov);nezamestnaný;1040
SK0106;Okres Malacky;muž;produktívny vek (15-64 rokov);žiak strednej školy;1318
SK0106;Okres Malacky;muž;produktívny vek (15-64 rokov);študent vysokej školy;501
SK0106;Okres Malacky;muž;produktívny vek (15-64 rokov);osoba v domácnosti;1130
SK0106;Okres Malacky;muž;produktívny vek (15-64 rokov);dôchodca;1228
SK0106;Okres Malacky;muž;produktívny vek (15-64 rokov);príjemca kapitálových príjmov;68
SK0106;Okres Malacky;muž;produktívny vek (15-64 rokov);iná;130
SK0106;Okres Malacky;muž;produktívny vek (15-64 rokov);žiak základnej školy;167
SK0106;Okres Malacky;muž;poproduktívny vek (65 a viac rokov);dôverné;7
SK0106;Okres Malacky;muž;poproduktívny vek (65 a viac rokov);pracujúci dôchodca;1013
SK0106;Okres Malacky;muž;poproduktívny vek (65 a viac rokov);dôchodca;4118
SK0106;Okres Malacky;muž;poproduktívny vek (65 a viac rokov);príjemca kapitálových príjmov;3
SK0106;Okres Malacky;žena;predproduktívny vek (0-14 rokov);nezistené;2
SK0106;Okres Malacky;žena;predproduktívny vek (0-14 rokov);žiak strednej školy;2
SK0106;Okres Malacky;žena;predproduktívny vek (0-14 rokov);žiak základnej školy;3746
SK0106;Okres Malacky;žena;predproduktívny vek (0-14 rokov);dieťa do začatia povinnej školskej dochádzky;2994
SK0106;Okres Malacky;žena;produktívny vek (15-64 rokov);dôverné;57
SK0106;Okres Malacky;žena;produktívny vek (15-64 rokov);nezistené;549
SK0106;Okres Malacky;žena;produktívny vek (15-64 rokov);pracujúci (okrem dôchodcov);15312
SK0106;Okres Malacky;žena;produktívny vek (15-64 rokov);pracujúci dôchodca;1258
SK0106;Okres Malacky;žena;produktívny vek (15-64 rokov);osoba na materskej dovolenke;331
SK0106;Okres Malacky;žena;produktívny vek (15-64 rokov);osoba na rodičovskej dovolenke;961
SK0106;Okres Malacky;žena;produktívny vek (15-64 rokov);nezamestnaný;1256
SK0106;Okres Malacky;žena;produktívny vek (15-64 rokov);žiak strednej školy;1297
SK0106;Okres Malacky;žena;produktívny vek (15-64 rokov);študent vysokej školy;579
SK0106;Okres Malacky;žena;produktívny vek (15-64 rokov);osoba v domácnosti;2462
SK0106;Okres Malacky;žena;produktívny vek (15-64 rokov);dôchodca;1503
SK0106;Okres Malacky;žena;produktívny vek (15-64 rokov);príjemca kapitálových príjmov;52
SK0106;Okres Malacky;žena;produktívny vek (15-64 rokov);iná;15
SK0106;Okres Malacky;žena;produktívny vek (15-64 rokov);žiak základnej školy;157
SK0106;Okres Malacky;žena;poproduktívny vek (65 a viac rokov);dôverné;4
SK0106;Okres Malacky;žena;poproduktívny vek (65 a viac rokov);pracujúci dôchodca;908
SK0106;Okres Malacky;žena;poproduktívny vek (65 a viac rokov);dôchodca;6156
SK0107;Okres Pezinok;muž;predproduktívny vek (0-14 rokov);nezistené;1
SK0107;Okres Pezinok;muž;predproduktívny vek (0-14 rokov);žiak základnej školy;3462
SK0107;Okres Pezinok;muž;predproduktívny vek (0-14 rokov);dieťa do začatia povinnej školskej dochádzky;2968
SK0107;Okres Pezinok;muž;produktívny vek (15-64 rokov);dôverné;36
SK0107;Okres Pezinok;muž;produktívny vek (15-64 rokov);nezistené;510
SK0107;Okres Pezinok;muž;produktívny vek (15-64 rokov);pracujúci (okrem dôchodcov);16068
SK0107;Okres Pezinok;muž;produktívny vek (15-64 rokov);pracujúci dôchodca;1111
SK0107;Okres Pezinok;muž;produktívny vek (15-64 rokov);osoba na materskej dovolenke;48
SK0107;Okres Pezinok;muž;produktívny vek (15-64 rokov);osoba na rodičovskej dovolenke;60
SK0107;Okres Pezinok;muž;produktívny vek (15-64 rokov);nezamestnaný;812
SK0107;Okres Pezinok;muž;produktívny vek (15-64 rokov);žiak strednej školy;1194
SK0107;Okres Pezinok;muž;produktívny vek (15-64 rokov);študent vysokej školy;565
SK0107;Okres Pezinok;muž;produktívny vek (15-64 rokov);osoba v domácnosti;942
SK0107;Okres Pezinok;muž;produktívny vek (15-64 rokov);dôchodca;1132
SK0107;Okres Pezinok;muž;produktívny vek (15-64 rokov);príjemca kapitálových príjmov;84
SK0107;Okres Pezinok;muž;produktívny vek (15-64 rokov);iná;48
SK0107;Okres Pezinok;muž;produktívny vek (15-64 rokov);žiak základnej školy;129
SK0107;Okres Pezinok;muž;poproduktívny vek (65 a viac rokov);dôverné;4
SK0107;Okres Pezinok;muž;poproduktívny vek (65 a viac rokov);pracujúci dôchodca;984
SK0107;Okres Pezinok;muž;poproduktívny vek (65 a viac rokov);dôchodca;3475
SK0107;Okres Pezinok;muž;poproduktívny vek (65 a viac rokov);príjemca kapitálových príjmov;3
SK0107;Okres Pezinok;žena;predproduktívny vek (0-14 rokov);nezistené;6
SK0107;Okres Pezinok;žena;predproduktívny vek (0-14 rokov);žiak strednej školy;3
SK0107;Okres Pezinok;žena;predproduktívny vek (0-14 rokov);žiak základnej školy;3421
SK0107;Okres Pezinok;žena;predproduktívny vek (0-14 rokov);dieťa do začatia povinnej školskej dochádzky;2703
SK0107;Okres Pezinok;žena;produktívny vek (15-64 rokov);dôverné;34
SK0107;Okres Pezinok;žena;produktívny vek (15-64 rokov);nezistené;380
SK0107;Okres Pezinok;žena;produktívny vek (15-64 rokov);pracujúci (okrem dôchodcov);13920
SK0107;Okres Pezinok;žena;produktívny vek (15-64 rokov);pracujúci dôchodca;1238
SK0107;Okres Pezinok;žena;produktívny vek (15-64 rokov);osoba na materskej dovolenke;307
SK0107;Okres Pezinok;žena;produktívny vek (15-64 rokov);osoba na rodičovskej dovolenke;926
SK0107;Okres Pezinok;žena;produktívny vek (15-64 rokov);nezamestnaný;899
SK0107;Okres Pezinok;žena;produktívny vek (15-64 rokov);žiak strednej školy;1190
SK0107;Okres Pezinok;žena;produktívny vek (15-64 rokov);študent vysokej školy;646
SK0107;Okres Pezinok;žena;produktívny vek (15-64 rokov);osoba v domácnosti;2009
SK0107;Okres Pezinok;žena;produktívny vek (15-64 rokov);dôchodca;1261
SK0107;Okres Pezinok;žena;produktívny vek (15-64 rokov);príjemca kapitálových príjmov;76
SK0107;Okres Pezinok;žena;produktívny vek (15-64 rokov);žiak základnej školy;116
SK0107;Okres Pezinok;žena;poproduktívny vek (65 a viac rokov);dôverné;5
SK0107;Okres Pezinok;žena;poproduktívny vek (65 a viac rokov);pracujúci dôchodca;799
SK0107;Okres Pezinok;žena;poproduktívny vek (65 a viac rokov);dôchodca;5608
SK0108;Okres Senec;muž;predproduktívny vek (0-14 rokov);nezistené;1
