,Názov kraja,Názov okresu,Pohlavie,Súčasná ekonomická aktivita,abs.
57,Bratislavský kraj,Okres Bratislava III,Ženy,iné,12408
58,Bratislavský kraj,Okres Bratislava III,Muži,dôchodca,4770
59,Bratislavský kraj,Okres Bratislava III,Muži,nezávislí,469
60,Bratislavský kraj,Okres Bratislava III,Muži,deti a žiaci ZŠ,4390
61,Bratislavský kraj,Okres Bratislava III,Muži,žiak z učilíšť,188
62,Bratislavský kraj,Okres Bratislava III,Muži,žiak strednej školy,869
63,Bratislavský kraj,Okres Bratislava III,Muži,študent vysokej školy,917
64,Bratislavský kraj,Okres Bratislava III,Muži,nezistené,866
65,Bratislavský kraj,Okres Bratislava III,Ženy,dôchodca,8962
66,Bratislavský kraj,Okres Bratislava III,Ženy,nezávislí,291
67,Bratislavský kraj,Okres Bratislava III,Ženy,deti a žiaci ZŠ,4246
68,Bratislavský kraj,Okres Bratislava III,Ženy,žiak z učilíšť,72
69,Bratislavský kraj,Okres Bratislava III,Ženy,žiak strednej školy,830
70,Bratislavský kraj,Okres Bratislava III,Ženy,študent vysokej školy,861
71,Bratislavský kraj,Okres Bratislava III,Ženy,nezistené,1357
72,Bratislavský kraj,Okres Bratislava IV,Muži,na materskej dovolenke,7
73,Bratislavský kraj,Okres Bratislava IV,Muži,pracujúci dôhodcovia,1263
74,Bratislavský kraj,Okres Bratislava IV,Muži,vypomáhajúci v rod. podniku,8
75,Bratislavský kraj,Okres Bratislava IV,Muži,nezamestnaní,1950
76,Bratislavský kraj,Okres Bratislava IV,Muži,iné,22014
77,Bratislavský kraj,Okres Bratislava IV,Ženy,na materskej dovolenke,2097
78,Bratislavský kraj,Okres Bratislava IV,Ženy,pracujúci dôhodcovia,2127
79,Bratislavský kraj,Okres Bratislava IV,Ženy,vypomáhajúci v rod. podniku,50
80,Bratislavský kraj,Okres Bratislava IV,Ženy,nezamestnaní,1768
81,Bratislavský kraj,Okres Bratislava IV,Ženy,iné,20494
82,Bratislavský kraj,Okres Bratislava IV,Muži,dôchodca,4692
83,Bratislavský kraj,Okres Bratislava IV,Muži,nezávislí,686
84,Bratislavský kraj,Okres Bratislava IV,Muži,deti a žiaci ZŠ,9193
85,Bratislavský kraj,Okres Bratislava IV,Muži,žiak z učilíšť,301
86,Bratislavský kraj,Okres Bratislava IV,Muži,žiak strednej školy,1249
87,Bratislavský kraj,Okres Bratislava IV,Muži,študent vysokej školy,1285
88,Bratislavský kraj,Okres Bratislava IV,Muži,nezistené,1231
89,Bratislavský kraj,Okres Bratislava IV,Ženy,dôchodca,8663
90,Bratislavský kraj,Okres Bratislava IV,Ženy,nezávislí,411
91,Bratislavský kraj,Okres Bratislava IV,Ženy,deti a žiaci ZŠ,8827
92,Bratislavský kraj,Okres Bratislava IV,Ženy,žiak z učilíšť,130
93,Bratislavský kraj,Okres Bratislava IV,Ženy,žiak strednej školy,1468
94,Bratislavský kraj,Okres Bratislava IV,Ženy,študent vysokej školy,1245
95,Bratislavský kraj,Okres Bratislava IV,Ženy,nezistené,1899
96,Bratislavský kraj,Okres Bratislava V,Muži,na materskej dovolenke,9
97,Bratislavský kraj,Okres Bratislava V,Muži,pracujúci dôhodcovia,761
98,Bratislavský kraj,Okres Bratislava V,Muži,vypomáhajúci v rod. podniku,23
99,Bratislavský kraj,Okres Bratislava V,Muži,nezamestnaní,4098
100,Bratislavský kraj,Okres Bratislava V,Muži,iné,30552
101,Bratislavský kraj,Okres Bratislava V,Ženy,na materskej dovolenke,1968
102,Bratislavský kraj,Okres Bratislava V,Ženy,pracujúci dôhodcovia,1180
103,Bratislavský kraj,Okres Bratislava V,Ženy,vypomáhajúci v rod. podniku,69
104,Bratislavský kraj,Okres Bratislava V,Ženy,nezamestnaní,3663
105,Bratislavský kraj,Okres Bratislava V,Ženy,iné,30935
106,Bratislavský kraj,Okres Bratislava V,Muži,dôchodca,3300
107,Bratislavský kraj,Okres Bratislava V,Muži,nezávislí,1201
108,Bratislavský kraj,Okres Bratislava V,Muži,deti a žiaci ZŠ,9448
109,Bratislavský kraj,Okres Bratislava V,Muži,žiak z učilíšť,938
110,Bratislavský kraj,Okres Bratislava V,Muži,žiak strednej školy,3637
111,Bratislavský kraj,Okres Bratislava V,Muži,študent vysokej školy,2564
112,Bratislavský kraj,Okres Bratislava V,Muži,nezistené,1580
113,Bratislavský kraj,Okres Bratislava V,Ženy,dôchodca,6142
114,Bratislavský kraj,Okres Bratislava V,Ženy,nezávislí,724
115,Bratislavský kraj,Okres Bratislava V,Ženy,deti a žiaci ZŠ,8982
116,Bratislavský kraj,Okres Bratislava V,Ženy,žiak z učilíšť,456
117,Bratislavský kraj,Okres Bratislava V,Ženy,žiak strednej školy,4108
118,Bratislavský kraj,Okres Bratislava V,Ženy,študent vysokej školy,2479
119,Bratislavský kraj,Okres Bratislava V,Ženy,nezistené,2442
120,Bratislavský kraj,Okres Malacky,Muži,na materskej dovolenke,9
121,Bratislavský kraj,Okres Malacky,Muži,pracujúci dôhodcovia,837
122,Bratislavský kraj,Okres Malacky,Muži,vypomáhajúci v rod. podniku,5
123,Bratislavský kraj,Okres Malacky,Muži,nezamestnaní,2984
124,Bratislavský kraj,Okres Malacky,Muži,iné,14627
125,Bratislavský kraj,Okres Malacky,Ženy,na materskej dovolenke,1608
126,Bratislavský kraj,Okres Malacky,Ženy,pracujúci dôhodcovia,1418
127,Bratislavský kraj,Okres Malacky,Ženy,vypomáhajúci v rod. podniku,18
128,Bratislavský kraj,Okres Malacky,Ženy,nezamestnaní,2492
129,Bratislavský kraj,Okres Malacky,Ženy,iné,11648
130,Bratislavský kraj,Okres Malacky,Muži,dôchodca,3734
131,Bratislavský kraj,Okres Malacky,Muži,nezávislí,436
132,Bratislavský kraj,Okres Malacky,Muži,deti a žiaci ZŠ,6321
133,Bratislavský kraj,Okres Malacky,Muži,žiak z učilíšť,500
134,Bratislavský kraj,Okres Malacky,Muži,žiak strednej školy,856
135,Bratislavský kraj,Okres Malacky,Muži,študent vysokej školy,406
136,Bratislavský kraj,Okres Malacky,Muži,nezistené,751
137,Bratislavský kraj,Okres Malacky,Ženy,dôchodca,6585
138,Bratislavský kraj,Okres Malacky,Ženy,nezávislí,253
139,Bratislavský kraj,Okres Malacky,Ženy,deti a žiaci ZŠ,6067
140,Bratislavský kraj,Okres Malacky,Ženy,žiak z učilíšť,228
141,Bratislavský kraj,Okres Malacky,Ženy,žiak strednej školy,1128
142,Bratislavský kraj,Okres Malacky,Ženy,študent vysokej školy,354
143,Bratislavský kraj,Okres Malacky,Ženy,nezistené,1089
144,Bratislavský kraj,Okres Pezinok,Muži,na materskej dovolenke,5
145,Bratislavský kraj,Okres Pezinok,Muži,pracujúci dôhodcovia,677
146,Bratislavský kraj,Okres Pezinok,Muži,vypomáhajúci v rod. podniku,7
147,Bratislavský kraj,Okres Pezinok,Muži,nezamestnaní,1714
148,Bratislavský kraj,Okres Pezinok,Muži,iné,12928
149,Bratislavský kraj,Okres Pezinok,Ženy,na materskej dovolenke,1353
150,Bratislavský kraj,Okres Pezinok,Ženy,pracujúci dôhodcovia,1111
151,Bratislavský kraj,Okres Pezinok,Ženy,vypomáhajúci v rod. podniku,23
152,Bratislavský kraj,Okres Pezinok,Ženy,nezamestnaní,1267
153,Bratislavský kraj,Okres Pezinok,Ženy,iné,10877
154,Bratislavský kraj,Okres Pezinok,Muži,dôchodca,3059
155,Bratislavský kraj,Okres Pezinok,Muži,nezávislí,372
156,Bratislavský kraj,Okres Pezinok,Muži,deti a žiaci ZŠ,5252
157,Bratislavský kraj,Okres Pezinok,Muži,žiak z učilíšť,417
158,Bratislavský kraj,Okres Pezinok,Muži,žiak strednej školy,791
159,Bratislavský kraj,Okres Pezinok,Muži,študent vysokej školy,478
160,Bratislavský kraj,Okres Pezinok,Muži,nezistené,555
161,Bratislavský kraj,Okres Pezinok,Ženy,dôchodca,5626
162,Bratislavský kraj,Okres Pezinok,Ženy,nezávislí,224
163,Bratislavský kraj,Okres Pezinok,Ženy,deti a žiaci ZŠ,4974
164,Bratislavský kraj,Okres Pezinok,Ženy,žiak z učilíšť,190
165,Bratislavský kraj,Okres Pezinok,Ženy,žiak strednej školy,974
166,Bratislavský kraj,Okres Pezinok,Ženy,študent vysokej školy,491
167,Bratislavský kraj,Okres Pezinok,Ženy,nezistené,799
168,Bratislavský kraj,Okres Senec,Muži,na materskej dovolenke,5
169,Bratislavský kraj,Okres Senec,Muži,pracujúci dôhodcovia,598
170,Bratislavský kraj,Okres Senec,Muži,vypomáhajúci v rod. podniku,12
171,Bratislavský kraj,Okres Senec,Muži,nezamestnaní,1652
172,Bratislavský kraj,Okres Senec,Muži,iné,11991
173,Bratislavský kraj,Okres Senec,Ženy,na materskej dovolenke,1268
174,Bratislavský kraj,Okres Senec,Ženy,pracujúci dôhodcovia,945
175,Bratislavský kraj,Okres Senec,Ženy,vypomáhajúci v rod. podniku,28
176,Bratislavský kraj,Okres Senec,Ženy,nezamestnaní,1244
177,Bratislavský kraj,Okres Senec,Ženy,iné,9804
178,Bratislavský kraj,Okres Senec,Muži,dôchodca,3144
179,Bratislavský kraj,Okres Senec,Muži,nezávislí,433
180,Bratislavský kraj,Okres Senec,Muži,deti a žiaci ZŠ,5048
181,Bratislavský kraj,Okres Senec,Muži,žiak z učilíšť,358
182,Bratislavský kraj,Okres Senec,Muži,žiak strednej školy,717
183,Bratislavský kraj,Okres Senec,Muži,študent vysokej školy,414
184,Bratislavský kraj,Okres Senec,Muži,nezistené,749
185,Bratislavský kraj,Okres Senec,Ženy,dôchodca,5840
186,Bratislavský kraj,Okres Senec,Ženy,nezávislí,260
187,Bratislavský kraj,Okres Senec,Ženy,deti a žiaci ZŠ,4733
188,Bratislavský kraj,Okres Senec,Ženy,žiak z učilíšť,131
189,Bratislavský kraj,Okres Senec,Ženy,žiak strednej školy,873
190,Bratislavský kraj,Okres Senec,Ženy,študent vysokej školy,426
191,Bratislavský kraj,Okres Senec,Ženy,nezistené,1152
192,Trnavský kraj,Okres Dunajská Streda,Muži,na materskej dovolenke,22
193,Trnavský kraj,Okres Dunajská Streda,Muži,pracujúci dôhodcovia,148
194,Trnavský kraj,Okres Dunajská Streda,Muži,vypomáhajúci v rod. podniku,26
195,Trnavský kraj,Okres Dunajská Streda,Muži,nezamestnaní,6608
196,Trnavský kraj,Okres Dunajská Streda,Muži,iné,23911
197,Trnavský kraj,Okres Dunajská Streda,Ženy,na materskej dovolenke,3236
198,Trnavský kraj,Okres Dunajská Streda,Ženy,pracujúci dôhodcovia,263
199,Trnavský kraj,Okres Dunajská Streda,Ženy,vypomáhajúci v rod. podniku,39
200,Trnavský kraj,Okres Dunajská Streda,Ženy,nezamestnaní,5409
201,Trnavský kraj,Okres Dunajská Streda,Ženy,iné,18887
202,Trnavský kraj,Okres Dunajská Streda,Muži,dôchodca,7785
203,Trnavský kraj,Okres Dunajská Streda,Muži,nezávislí,1185
204,Trnavský kraj,Okres Dunajská Streda,Muži,deti a žiaci ZŠ,11013
205,Trnavský kraj,Okres Dunajská Streda,Muži,žiak z učilíšť,762
206,Trnavský kraj,Okres Dunajská Streda,Muži,žiak strednej školy,1353
207,Trnavský kraj,Okres Dunajská Streda,Muži,študent vysokej školy,743
208,Trnavský kraj,Okres Dunajská Streda,Muži,nezistené,1258
209,Trnavský kraj,Okres Dunajská Streda,Ženy,dôchodca,12487
210,Trnavský kraj,Okres Dunajská Streda,Ženy,nezávislí,933
211,Trnavský kraj,Okres Dunajská Streda,Ženy,deti a žiaci ZŠ,10578
212,Trnavský kraj,Okres Dunajská Streda,Ženy,žiak z učilíšť,364
213,Trnavský kraj,Okres Dunajská Streda,Ženy,žiak strednej školy,1742
214,Trnavský kraj,Okres Dunajská Streda,Ženy,študent vysokej školy,817
215,Trnavský kraj,Okres Dunajská Streda,Ženy,nezistené,2815
216,Trnavský kraj,Okres Galanta,Muži,na materskej dovolenke,22
217,Trnavský kraj,Okres Galanta,Muži,pracujúci dôhodcovia,170
218,Trnavský kraj,Okres Galanta,Muži,vypomáhajúci v rod. podniku,24
219,Trnavský kraj,Okres Galanta,Muži,nezamestnaní,5612
220,Trnavský kraj,Okres Galanta,Muži,iné,19770
221,Trnavský kraj,Okres Galanta,Ženy,na materskej dovolenke,2713
222,Trnavský kraj,Okres Galanta,Ženy,pracujúci dôhodcovia,306
223,Trnavský kraj,Okres Galanta,Ženy,vypomáhajúci v rod. podniku,65
224,Trnavský kraj,Okres Galanta,Ženy,nezamestnaní,4143
225,Trnavský kraj,Okres Galanta,Ženy,iné,15581
226,Trnavský kraj,Okres Galanta,Muži,dôchodca,6952
227,Trnavský kraj,Okres Galanta,Muži,nezávislí,909
228,Trnavský kraj,Okres Galanta,Muži,deti a žiaci ZŠ,9435
229,Trnavský kraj,Okres Galanta,Muži,žiak z učilíšť,650
230,Trnavský kraj,Okres Galanta,Muži,žiak strednej školy,1163
231,Trnavský kraj,Okres Galanta,Muži,študent vysokej školy,667
232,Trnavský kraj,Okres Galanta,Muži,nezistené,697
233,Trnavský kraj,Okres Galanta,Ženy,dôchodca,11816
234,Trnavský kraj,Okres Galanta,Ženy,nezávislí,572
235,Trnavský kraj,Okres Galanta,Ženy,deti a žiaci ZŠ,8988
236,Trnavský kraj,Okres Galanta,Ženy,žiak z učilíšť,298
237,Trnavský kraj,Okres Galanta,Ženy,žiak strednej školy,1417
238,Trnavský kraj,Okres Galanta,Ženy,študent vysokej školy,652
239,Trnavský kraj,Okres Galanta,Ženy,nezistené,1911
240,Trnavský kraj,Okres Hlohovec,Muži,na materskej dovolenke,12
241,Trnavský kraj,Okres Hlohovec,Muži,pracujúci dôhodcovia,78
242,Trnavský kraj,Okres Hlohovec,Muži,vypomáhajúci v rod. podniku,4
243,Trnavský kraj,Okres Hlohovec,Muži,nezamestnaní,2242
244,Trnavský kraj,Okres Hlohovec,Muži,iné,10073
245,Trnavský kraj,Okres Hlohovec,Ženy,na materskej dovolenke,1032
246,Trnavský kraj,Okres Hlohovec,Ženy,pracujúci dôhodcovia,117
247,Trnavský kraj,Okres Hlohovec,Ženy,vypomáhajúci v rod. podniku,10
248,Trnavský kraj,Okres Hlohovec,Ženy,nezamestnaní,1967
249,Trnavský kraj,Okres Hlohovec,Ženy,iné,7635
250,Trnavský kraj,Okres Hlohovec,Muži,dôchodca,3421
251,Trnavský kraj,Okres Hlohovec,Muži,nezávislí,300
252,Trnavský kraj,Okres Hlohovec,Muži,deti a žiaci ZŠ,4610
253,Trnavský kraj,Okres Hlohovec,Muži,žiak z učilíšť,304
254,Trnavský kraj,Okres Hlohovec,Muži,žiak strednej školy,629
255,Trnavský kraj,Okres Hlohovec,Muži,študent vysokej školy,371
256,Trnavský kraj,Okres Hlohovec,Muži,nezistené,260
257,Trnavský kraj,Okres Hlohovec,Ženy,dôchodca,5962
258,Trnavský kraj,Okres Hlohovec,Ženy,nezávislí,155
259,Trnavský kraj,Okres Hlohovec,Ženy,deti a žiaci ZŠ,4269
260,Trnavský kraj,Okres Hlohovec,Ženy,žiak z učilíšť,141
261,Trnavský kraj,Okres Hlohovec,Ženy,žiak strednej školy,762
262,Trnavský kraj,Okres Hlohovec,Ženy,študent vysokej školy,415
263,Trnavský kraj,Okres Hlohovec,Ženy,nezistené,582
264,Trnavský kraj,Okres Piešťany,Muži,na materskej dovolenke,9
265,Trnavský kraj,Okres Piešťany,Muži,pracujúci dôhodcovia,166
266,Trnavský kraj,Okres Piešťany,Muži,vypomáhajúci v rod. podniku,12
267,Trnavský kraj,Okres Piešťany,Muži,nezamestnaní,2397
268,Trnavský kraj,Okres Piešťany,Muži,iné,14000
269,Trnavský kraj,Okres Piešťany,Ženy,na materskej dovolenke,1496
270,Trnavský kraj,Okres Piešťany,Ženy,pracujúci dôhodcovia,220
271,Trnavský kraj,Okres Piešťany,Ženy,vypomáhajúci v rod. podniku,42
272,Trnavský kraj,Okres Piešťany,Ženy,nezamestnaní,1718
273,Trnavský kraj,Okres Piešťany,Ženy,iné,11531
274,Trnavský kraj,Okres Piešťany,Muži,dôchodca,5184
275,Trnavský kraj,Okres Piešťany,Muži,nezávislí,438
276,Trnavský kraj,Okres Piešťany,Muži,deti a žiaci ZŠ,6024
277,Trnavský kraj,Okres Piešťany,Muži,žiak z učilíšť,357
278,Trnavský kraj,Okres Piešťany,Muži,žiak strednej školy,986
279,Trnavský kraj,Okres Piešťany,Muži,študent vysokej školy,646
280,Trnavský kraj,Okres Piešťany,Muži,nezistené,487
281,Trnavský kraj,Okres Piešťany,Ženy,dôchodca,9068
282,Trnavský kraj,Okres Piešťany,Ženy,nezávislí,337
283,Trnavský kraj,Okres Piešťany,Ženy,deti a žiaci ZŠ,5767
284,Trnavský kraj,Okres Piešťany,Ženy,žiak z učilíšť,178
285,Trnavský kraj,Okres Piešťany,Ženy,žiak strednej školy,1242
286,Trnavský kraj,Okres Piešťany,Ženy,študent vysokej školy,607
287,Trnavský kraj,Okres Piešťany,Ženy,nezistené,1016
288,Trnavský kraj,Okres Senica,Muži,na materskej dovolenke,14
289,Trnavský kraj,Okres Senica,Muži,pracujúci dôhodcovia,100
290,Trnavský kraj,Okres Senica,Muži,vypomáhajúci v rod. podniku,8
291,Trnavský kraj,Okres Senica,Muži,nezamestnaní,3003
292,Trnavský kraj,Okres Senica,Muži,iné,13290
293,Trnavský kraj,Okres Senica,Ženy,na materskej dovolenke,1541
294,Trnavský kraj,Okres Senica,Ženy,pracujúci dôhodcovia,163
295,Trnavský kraj,Okres Senica,Ženy,vypomáhajúci v rod. podniku,25
296,Trnavský kraj,Okres Senica,Ženy,nezamestnaní,2450
297,Trnavský kraj,Okres Senica,Ženy,iné,10449
298,Trnavský kraj,Okres Senica,Muži,dôchodca,4507
299,Trnavský kraj,Okres Senica,Muži,nezávislí,430
300,Trnavský kraj,Okres Senica,Muži,deti a žiaci ZŠ,6240
301,Trnavský kraj,Okres Senica,Muži,žiak z učilíšť,478
302,Trnavský kraj,Okres Senica,Muži,žiak strednej školy,760
303,Trnavský kraj,Okres Senica,Muži,študent vysokej školy,390
304,Trnavský kraj,Okres Senica,Muži,nezistené,554
305,Trnavský kraj,Okres Senica,Ženy,dôchodca,7622
306,Trnavský kraj,Okres Senica,Ženy,nezávislí,345
307,Trnavský kraj,Okres Senica,Ženy,deti a žiaci ZŠ,5925
308,Trnavský kraj,Okres Senica,Ženy,žiak z učilíšť,278
309,Trnavský kraj,Okres Senica,Ženy,žiak strednej školy,1000
310,Trnavský kraj,Okres Senica,Ženy,študent vysokej školy,405
311,Trnavský kraj,Okres Senica,Ženy,nezistené,914
312,Trnavský kraj,Okres Skalica,Muži,na materskej dovolenke,4
313,Trnavský kraj,Okres Skalica,Muži,pracujúci dôhodcovia,78
314,Trnavský kraj,Okres Skalica,Muži,vypomáhajúci v rod. podniku,7
315,Trnavský kraj,Okres Skalica,Muži,nezamestnaní,2274
316,Trnavský kraj,Okres Skalica,Muži,iné,10454
317,Trnavský kraj,Okres Skalica,Ženy,na materskej dovolenke,1156
318,Trnavský kraj,Okres Skalica,Ženy,pracujúci dôhodcovia,142
319,Trnavský kraj,Okres Skalica,Ženy,vypomáhajúci v rod. podniku,23
320,Trnavský kraj,Okres Skalica,Ženy,nezamestnaní,1874
321,Trnavský kraj,Okres Skalica,Ženy,iné,8418
322,Trnavský kraj,Okres Skalica,Muži,dôchodca,3373
323,Trnavský kraj,Okres Skalica,Muži,nezávislí,296
324,Trnavský kraj,Okres Skalica,Muži,deti a žiaci ZŠ,4917
325,Trnavský kraj,Okres Skalica,Muži,žiak z učilíšť,380
326,Trnavský kraj,Okres Skalica,Muži,žiak strednej školy,507
327,Trnavský kraj,Okres Skalica,Muži,študent vysokej školy,279
328,Trnavský kraj,Okres Skalica,Muži,nezistené,300
329,Trnavský kraj,Okres Skalica,Ženy,dôchodca,5776
330,Trnavský kraj,Okres Skalica,Ženy,nezávislí,136
331,Trnavský kraj,Okres Skalica,Ženy,deti a žiaci ZŠ,4628
332,Trnavský kraj,Okres Skalica,Ženy,žiak z učilíšť,195
333,Trnavský kraj,Okres Skalica,Ženy,žiak strednej školy,787
334,Trnavský kraj,Okres Skalica,Ženy,študent vysokej školy,291
335,Trnavský kraj,Okres Skalica,Ženy,nezistené,496
336,Trnavský kraj,Okres Trnava,Muži,na materskej dovolenke,26
337,Trnavský kraj,Okres Trnava,Muži,pracujúci dôhodcovia,224
338,Trnavský kraj,Okres Trnava,Muži,vypomáhajúci v rod. podniku,17
339,Trnavský kraj,Okres Trnava,Muži,nezamestnaní,5354
340,Trnavský kraj,Okres Trnava,Muži,iné,28548
341,Trnavský kraj,Okres Trnava,Ženy,na materskej dovolenke,3006
342,Trnavský kraj,Okres Trnava,Ženy,pracujúci dôhodcovia,388
343,Trnavský kraj,Okres Trnava,Ženy,vypomáhajúci v rod. podniku,44
344,Trnavský kraj,Okres Trnava,Ženy,nezamestnaní,4581
345,Trnavský kraj,Okres Trnava,Ženy,iné,22755
346,Trnavský kraj,Okres Trnava,Muži,dôchodca,8968
347,Trnavský kraj,Okres Trnava,Muži,nezávislí,848
348,Trnavský kraj,Okres Trnava,Muži,deti a žiaci ZŠ,12230
349,Trnavský kraj,Okres Trnava,Muži,žiak z učilíšť,823
350,Trnavský kraj,Okres Trnava,Muži,žiak strednej školy,1780
351,Trnavský kraj,Okres Trnava,Muži,študent vysokej školy,1225
352,Trnavský kraj,Okres Trnava,Muži,nezistené,1892
353,Trnavský kraj,Okres Trnava,Ženy,dôchodca,15784
354,Trnavský kraj,Okres Trnava,Ženy,nezávislí,503
355,Trnavský kraj,Okres Trnava,Ženy,deti a žiaci ZŠ,11777
356,Trnavský kraj,Okres Trnava,Ženy,žiak z učilíšť,417
357,Trnavský kraj,Okres Trnava,Ženy,žiak strednej školy,2244
358,Trnavský kraj,Okres Trnava,Ženy,študent vysokej školy,1313
359,Trnavský kraj,Okres Trnava,Ženy,nezistené,2378
360,Trenčiansky kraj,Okres Bánovce nad Bebravou,Muži,na materskej dovolenke,16
361,Trenčiansky kraj,Okres Bánovce nad Bebravou,Muži,pracujúci dôhodcovia,241
362,Trenčiansky kraj,Okres Bánovce nad Bebravou,Muži,vypomáhajúci v rod. podniku,3
363,Trenčiansky kraj,Okres Bánovce nad Bebravou,Muži,nezamestnaní,2562
364,Trenčiansky kraj,Okres Bánovce nad Bebravou,Muži,iné,7820
365,Trenčiansky kraj,Okres Bánovce nad Bebravou,Ženy,na materskej dovolenke,1003
366,Trenčiansky kraj,Okres Bánovce nad Bebravou,Ženy,pracujúci dôhodcovia,387
367,Trenčiansky kraj,Okres Bánovce nad Bebravou,Ženy,vypomáhajúci v rod. podniku,7
368,Trenčiansky kraj,Okres Bánovce nad Bebravou,Ženy,nezamestnaní,1555
369,Trenčiansky kraj,Okres Bánovce nad Bebravou,Ženy,iné,6817
370,Trenčiansky kraj,Okres Bánovce nad Bebravou,Muži,dôchodca,2720
371,Trenčiansky kraj,Okres Bánovce nad Bebravou,Muži,nezávislí,206
372,Trenčiansky kraj,Okres Bánovce nad Bebravou,Muži,deti a žiaci ZŠ,4030
373,Trenčiansky kraj,Okres Bánovce nad Bebravou,Muži,žiak z učilíšť,281
374,Trenčiansky kraj,Okres Bánovce nad Bebravou,Muži,žiak strednej školy,432
